ID,gender,employment,income,density,VMT
2343,Male,Employed,117942,6989,27.1
2344,Male,Employed,39053,8706,23.6
2345,Male,Not in labor force,38977,6302,21.6
2346,Male,Employed,50223,10681,24.3
2347,Male,Employed,188529,7343,29.1
2348,Male,Employed,58600,11686,25
2349,Female,Not in labor force,11755,9492,14.2
2350,Male,Employed,39668,7806,23.8
2351,Female,Not in labor force,28391,13676,17.2
2352,Male,Employed,76452,7628,25.7
2353,Male,Employed,102262,8150,27.2
2354,Female,Employed,18009,7856,18.9
2355,Female,Not in labor force,24762,4644,18.2
2356,Female,Not in labor force,113897,12121,21.3
2357,Female,Employed,28539,10031,19.3
2358,Male,Unemployed,21763,15127,19.2
2359,Female,Unemployed,8559,10562,13.7
2360,Female,Unemployed,26231,10322,17.3
2361,Female,Not in labor force,12475,6760,14.7
2362,Female,Not in labor force,20456,11847,16.1
2363,Female,Employed,29313,8300,20
2364,Male,Unemployed,80354,7046,24.6
2365,Male,Employed,32338,11633,22.2
2366,Male,Not in labor force,25410,6409,20.5
2367,Female,Employed,78667,10228,22.8
2368,Female,Employed,80956,9358,23.2
2369,Female,Employed,79437,11118,22.8
2370,Female,Employed,46833,8005,21.9
2371,Male,Not in labor force,25094,5730,20.8
2372,Male,Employed,41723,7288,24.4
2373,Female,Employed,48537,10783,21.1
2374,Male,Employed,99924,8029,26.9
2375,Female,Not in labor force,15840,13691,15.4
2376,Female,Not in labor force,20989,9422,16.3
2377,Female,Employed,114170,13136,23.4
2378,Male,Not in labor force,35182,10473,20.8
2379,Female,Employed,82994,8468,23.5
2380,Female,Not in labor force,38602,12267,18.7
2381,Male,Employed,53411,11831,24
2382,Male,Employed,76419,9790,26.3
2383,Female,Employed,43424,12824,21
2384,Female,Not in labor force,8439,7138,14.2
2385,Female,Not in labor force,33331,7785,18.7
2386,Male,Employed,16429,10423,20.4
2387,Female,Employed,34300,8427,20.4
2388,Male,Employed,181505,11001,28.5
2389,Female,Employed,25483,8375,19.4
2390,Female,Not in labor force,24315,10509,16.9
2391,Female,Not in labor force,30371,10636,17.8
2392,Female,Not in labor force,19665,10420,15.7
2393,Male,Employed,200167,8865,29.5
2394,Female,Not in labor force,87644,12786,20.6
2395,Male,Employed,30096,10736,22.5
2396,Female,Employed,23795,8937,19.1
2397,Female,Not in labor force,23143,15352,16
2398,Male,Employed,96526,11834,26.2
2399,Male,Employed,69273,8741,25.8
2400,Non-binary,Employed,37413,8615,20.5
2401,Female,Not in labor force,24890,12937,16.6
2402,Male,Employed,51449,11216,23.6
2403,Female,Employed,17755,8246,18.2
2404,Female,Not in labor force,40414,7777,19.1
2405,Female,Employed,122159,8314,24.6
2406,Female,Not in labor force,21247,11849,15.8
2407,Female,Unemployed,22044,10597,16.9
2408,Female,Unemployed,51772,6989,20.3
2409,Female,Not in labor force,21407,12954,16
2410,Male,Employed,95944,10894,26.1
2411,Female,Not in labor force,14460,11484,15.1
2412,Male,Employed,53847,5858,25.5
2413,Female,Employed,25124,10101,19.1
2414,Female,Employed,81389,9167,23.6
2415,Female,Employed,55627,10109,21.4
2416,Male,Employed,82856,10537,25.8
2417,Male,Employed,61197,6614,25.9
2418,Female,Employed,103334,10219,24
2419,Female,Employed,79810,12126,22.6
2420,Male,Not in labor force,42002,11504,21.2
2421,Female,Not in labor force,19060,12478,16
2422,Female,Employed,31635,10177,20.1
2423,Female,Not in labor force,20591,11431,16
2424,Female,Employed,46513,8605,21.4
2425,Male,Not in labor force,31036,9659,20.5
2426,Male,Employed,42227,6876,24.4
2427,Female,Not in labor force,19023,15990,15.8
2428,Male,Employed,118326,13110,26.6
2429,Female,Employed,22856,12874,18.5
2430,Male,Employed,223225,8898,29.3
2431,Male,Employed,146342,8121,28.1
2432,Male,Employed,56663,11156,24.6
2433,Female,Employed,44915,6766,21.7
2434,Male,Not in labor force,19703,8492,19.8
2435,Female,Employed,28040,9751,19.8
2436,Female,Employed,31191,9920,19.8
2437,Female,Employed,41763,11560,21.1
2438,Female,Not in labor force,8468,10704,13.5
2439,Male,Employed,34217,10441,23.1
2440,Female,Not in labor force,27375,8608,17.7
2441,Female,Not in labor force,14799,13248,15.3
2442,Male,Employed,72099,7469,26
2443,Female,Not in labor force,13719,11608,14.8
2444,Male,Employed,79938,8672,26.3
2445,Female,Not in labor force,16272,9372,15.5
2446,Female,Not in labor force,27338,13820,16.7
2447,Male,Not in labor force,18026,11483,18.5
2448,Female,Employed,53042,12537,21.4
2449,Male,Employed,86294,15344,25.6
2450,Female,Employed,67941,9812,21.8
2451,Male,Employed,22859,8712,22
2452,Female,Employed,25036,12776,18.8
2453,Male,Employed,79724,14354,25.4
2454,Female,Employed,127422,12834,24.4
2455,Female,Not in labor force,15224,9770,15.2
2456,Male,Employed,16263,14038,20
2457,Male,Employed,61815,13300,24.7
2458,Male,Employed,31462,10716,23
2459,Male,Unemployed,41935,6341,22.6
2460,Female,Employed,45540,7714,21.8
2461,Male,Employed,140385,4636,28.8
2462,Male,Employed,68711,5821,26.5
2463,Male,Not in labor force,36816,8046,21.8
2464,Male,Employed,93490,12832,25.7
2465,Male,Employed,66071,12994,25
2466,Female,Employed,89671,14297,22.8
2467,Male,Employed,81634,12654,25.4
2468,Female,Employed,80629,11072,23
2469,Female,Not in labor force,13245,11000,14.7
2470,Male,Employed,66230,8827,25.8
2471,Male,Employed,123925,11485,26.9
2472,Male,Employed,49505,9622,23.9
2473,Female,Not in labor force,13421,10613,14.9
2474,Female,Not in labor force,30163,6251,18.3
2475,Male,Employed,137936,10939,27.6
2476,Female,Employed,34028,10080,20.2
2477,Female,Not in labor force,31620,15180,16.8
2478,Male,Employed,131809,8012,27.9
2479,Male,Employed,52380,7197,25
2480,Female,Employed,31267,7515,20.6
2481,Female,Not in labor force,20633,5683,17.4
2482,Female,Not in labor force,34787,10599,18.2
2483,Female,Not in labor force,13122,12780,14.3
2484,Male,Unemployed,9791,7902,17
2485,Male,Employed,46163,9149,24
2486,Female,Employed,24621,12808,18.7
2487,Male,Employed,67188,13922,25.1
2488,Female,Not in labor force,34354,11595,17.7
2489,Male,Employed,47258,12904,23.7
2490,Male,Employed,70755,11070,25.4
2491,Male,Employed,35763,7464,24
2492,Male,Employed,31092,9507,22.8
2493,Male,Not in labor force,18128,10339,18.5
2494,Female,Employed,97171,8857,24
2495,Female,Not in labor force,19906,10960,16.3
2496,Female,Not in labor force,21643,9762,16.1
2497,Female,Unemployed,14161,6909,16.2
2498,Female,Employed,88270,10447,23.3
2499,Male,Unemployed,41745,12110,20.9
2500,Male,Employed,69515,7220,26.3
2501,Male,Not in labor force,27500,11708,19.8
2502,Male,Employed,62182,9351,25.2
2503,Female,Employed,23409,12843,18.3
2504,Male,Employed,65914,7039,25.9
2505,Male,Employed,26864,7166,22.8
2506,Female,Employed,33619,12816,19.5
2507,Female,Not in labor force,33874,11633,17.7
2508,Male,Employed,53755,11248,24.4
2509,Female,Not in labor force,13796,10431,15.2
2510,Male,Employed,101672,11949,26.1
2511,Male,Not in labor force,42589,10307,21.8
2512,Male,Employed,122676,7383,28
2513,Male,Employed,44572,15690,23
2514,Male,Employed,54049,12226,24.4
2515,Male,Not in labor force,112719,12374,25
2516,Male,Employed,30919,8808,23
2517,Female,Employed,46195,12974,20.7
2518,Female,Employed,21272,13141,17.8
2519,Female,Not in labor force,61226,9379,19.9
2520,Female,Employed,58618,9771,21.8
2521,Male,Not in labor force,38718,11661,20.8
2522,Female,Not in labor force,33966,12090,17.3
2523,Female,Employed,13015,10383,17
2524,Male,Not in labor force,21564,6162,20
2525,Female,Employed,138795,12217,24.2
2526,Male,Unemployed,9878,13060,16.8
2527,Male,Employed,50315,8411,24.8
2528,Male,Employed,130567,11712,27.6
2529,Male,Employed,70405,8745,25.8
2530,Male,Unemployed,20751,9153,19.5
2531,Male,Employed,90149,5611,27.3
2532,Female,Employed,49801,6245,22.2
2533,Male,Employed,39797,10598,23.4
2534,Female,Employed,75046,10306,22.6
2535,Female,Employed,46034,7681,21.5
2536,Male,Employed,46316,9246,23.6
2537,Male,Not in labor force,15609,7008,18.8
2538,Male,Employed,108016,15286,26.2
2539,Male,Employed,130750,12599,27
2540,Female,Not in labor force,10250,10739,13.9
2541,Female,Employed,60097,7036,22.2
2542,Female,Employed,36614,5346,21.5
2543,Male,Employed,243047,11740,29.2
2544,Male,Employed,78376,12788,25.3
2545,Male,Not in labor force,29356,11542,20.3
2546,Female,Not in labor force,63538,10827,19.8
2547,Male,Not in labor force,19845,11084,19
2548,Female,Employed,150877,4249,26.4
2549,Male,Employed,74802,10067,25.3
2550,Female,Employed,52916,8271,22.3
2551,Male,Unemployed,40789,8169,22
2552,Female,Not in labor force,19163,8044,16.2
2553,Female,Employed,16410,11125,17.6
2554,Male,Employed,39779,9483,23.3
2555,Female,Employed,53487,10979,21.8
2556,Male,Employed,43297,9609,23.9
2557,Male,Employed,227978,9850,29.4
2558,Female,Not in labor force,7327,13376,12.6
2559,Male,Employed,57793,10373,24.9
2560,Male,Employed,64020,11768,24.3
2561,Female,Not in labor force,33376,9828,18.3
2562,Female,Unemployed,44245,12293,18.5
2563,Male,Employed,48052,7513,24.6
2564,Female,Employed,41865,13908,20.3
2565,Female,Employed,28229,6222,20.4
2566,Female,Not in labor force,32853,11401,17.5
2567,Male,Not in labor force,69713,10203,24.1
2568,Male,Employed,72250,10264,25.3
2569,Male,Not in labor force,24158,8585,19.8
2570,Male,Employed,65393,4670,26.5
2571,Female,Employed,65653,4779,23.2
2572,Male,Not in labor force,19373,5962,20
2573,Female,Employed,81192,8104,23.3
2574,Female,Employed,47133,7897,21.8
2575,Female,Employed,17901,7542,18.6
2576,Female,Not in labor force,26457,9870,17.7
2577,Male,Employed,91702,12055,25.8
2578,Female,Not in labor force,30682,10538,18.1
2579,Female,Employed,100195,12024,23.4
2580,Female,Not in labor force,33833,9288,18.4
2581,Male,Employed,101643,10226,26.6
2582,Female,Not in labor force,12441,7135,15.2
2583,Male,Not in labor force,62081,10048,22.9
2584,Male,Employed,99493,8844,26.5
2585,Male,Employed,132587,9783,27.5
2586,Male,Employed,76080,4890,26.2
2587,Male,Employed,65257,8762,25.3
2588,Female,Employed,159660,11267,25.2
2589,Male,Unemployed,35011,12505,20.4
2590,Male,Employed,268653,7730,30.2
2591,Female,Employed,50805,8995,21.9
2592,Female,Employed,67582,5345,23.5
2593,Female,Not in labor force,31652,11035,17.6
2594,Male,Employed,43683,5828,24.8
2595,Male,Employed,58119,9694,25.1
2596,Female,Employed,40807,7577,21.1
2597,Male,Employed,52789,12456,24.2
2598,Female,Employed,26864,8111,20.3
2599,Female,Not in labor force,17082,11894,15.3
2600,Male,Employed,54671,9501,25
2601,Male,Employed,19069,8441,21.4
2602,Male,Unemployed,18851,9346,19.2
2603,Female,Not in labor force,14948,7375,16.1
2604,Male,Not in labor force,13975,9003,18.2
2605,Female,Employed,16870,9048,17.6
2606,Male,Employed,67576,7298,25.7
2607,Female,Not in labor force,41550,6039,19.4
2608,Female,Employed,126805,8703,24.6
2609,Male,Employed,94122,11525,26.3
2610,Male,Employed,130372,7841,27.8
2611,Female,Not in labor force,20933,9739,16.7
2612,Female,Not in labor force,19650,7294,16.7
2613,Male,Employed,47364,11288,23.9
2614,Male,Employed,87338,11494,25.5
2615,Male,Employed,102672,10822,26.4
2616,Female,Employed,42624,13754,20.4
2617,Male,Employed,15145,9070,20
2618,Male,Employed,83702,7784,26.4
2619,Female,Not in labor force,18598,14489,15.2
2620,Female,Not in labor force,14632,9770,15.2
2621,Female,Employed,51917,8134,21.9
2622,Female,Not in labor force,22186,11374,16.2
2623,Male,Employed,37538,9026,23.2
2624,Male,Unemployed,39762,9210,22
2625,Female,Employed,19205,9475,18.4
2626,Female,Employed,37112,11472,20.3
2627,Male,Not in labor force,69116,9817,23.3
2628,Female,Employed,82453,6983,23.8
2629,Female,Not in labor force,24348,11810,16.8
2630,Female,Employed,43054,9750,20.9
2631,Female,Unemployed,22398,13809,16.6
2632,Male,Employed,75563,6755,26.3
2633,Female,Not in labor force,25590,16372,16.6
2634,Female,Employed,76430,8791,23.1
2635,Female,Employed,36426,10585,20.4
2636,Female,Employed,10346,9462,16
2637,Male,Employed,28297,12851,21.8
2638,Female,Not in labor force,16217,7947,15.9
2639,Female,Employed,50191,9812,21.6
2640,Male,Employed,99881,7671,26.9
2641,Male,Employed,21291,11733,21.2
2642,Female,Employed,69290,7187,23.1
2643,Male,Employed,66341,13526,24.6
2644,Female,Employed,68113,11948,22
2645,Female,Not in labor force,36436,9211,18.9
2646,Male,Employed,63048,8910,25.4
2647,Female,Employed,86631,3581,25.3
2648,Female,Not in labor force,24923,10457,17.2
2649,Female,Not in labor force,26340,6250,17.8
2650,Male,Employed,46352,8973,24
2651,Female,Not in labor force,20990,9105,16.4
2652,Female,Not in labor force,33805,12945,17.6
2653,Male,Employed,84244,5847,26.8
2654,Male,Not in labor force,83114,10146,24
2655,Male,Employed,91931,7246,26.6
2656,Female,Not in labor force,21117,13228,16
2657,Male,Employed,55279,13504,24
2658,Male,Employed,65978,10359,25
2659,Male,Not in labor force,33071,10251,21.2
2660,Male,Employed,17799,11663,20.5
2661,Male,Not in labor force,19223,7624,19.7
2662,Female,Unemployed,17893,13330,15.5
2663,Female,Not in labor force,35139,4608,19.5
2664,Female,Employed,35789,9000,20.2
2665,Female,Not in labor force,10274,13921,13.2
2666,Female,Employed,67414,9875,23
2667,Male,Employed,32858,7235,23.3
2668,Male,Employed,28647,12204,22.3
2669,Female,Employed,38091,9825,20.3
2670,Male,Not in labor force,52245,4546,23.4
2671,Male,Unemployed,23879,13252,19.7
2672,Female,Not in labor force,16291,8748,16.1
2673,Male,Not in labor force,35050,12959,20.4
2674,Female,Unemployed,32625,9203,17.9
2675,Female,Employed,31232,7626,20.3
2676,Female,Not in labor force,13321,10891,14.8
2677,Male,Employed,103449,12762,26.5
2678,Female,Not in labor force,6830,9213,12.7
2679,Female,Employed,69374,12564,22.2
2680,Male,Employed,90755,10450,26.5
2681,Male,Employed,39145,11539,23.1
2682,Male,Employed,44725,9056,23.7
2683,Female,Employed,81756,8674,23.4
2684,Male,Employed,52271,10875,24.3
2685,Female,Employed,69219,6262,22.9
2686,Male,Employed,50242,12602,23.8
2687,Male,Employed,118035,6946,27.8
2688,Male,Employed,35131,11289,22.5
2689,Female,Not in labor force,35676,10372,17.9
2690,Male,Employed,12923,11100,19.6
2691,Female,Not in labor force,25943,7572,17.8
2692,Male,Employed,46058,9528,24.4
2693,Male,Employed,62001,14295,24.8
2694,Female,Not in labor force,22756,9628,16.6
2695,Female,Not in labor force,14604,11182,15.3
2696,Male,Not in labor force,10839,11511,16.7
2697,Male,Employed,57656,10775,24.6
2698,Female,Employed,48486,14978,20.6
2699,Female,Employed,49985,7041,22
2700,Male,Employed,43943,9645,24.1
2701,Male,Employed,58466,13716,24.4
2702,Female,Employed,33479,11331,19.9
2703,Male,Employed,98271,11310,26.2
2704,Female,Not in labor force,26464,8953,17.5
2705,Female,Unemployed,34645,11423,18.1
2706,Female,Not in labor force,17552,9963,16.3
2707,Female,Not in labor force,20462,10624,16.5
2708,Male,Employed,95638,7220,26.8
2709,Male,Employed,86427,3960,27.6
2710,Male,Not in labor force,33844,8378,21.3
2711,Male,Employed,66378,7778,26
2712,Male,Employed,42222,7851,24.5
2713,Male,Employed,104377,11480,26.5
2714,Male,Unemployed,20560,9528,19.8
2715,Female,Not in labor force,20816,11231,15.9
2716,Female,Not in labor force,21216,12952,16.1
2717,Male,Not in labor force,19288,13562,18.5
2718,Male,Unemployed,35410,11944,21.1
2719,Male,Employed,120276,10084,27.3
2720,Male,Employed,77883,10544,25.6
2721,Male,Not in labor force,54814,10739,22.3
2722,Female,Employed,52090,8489,22
2723,Male,Not in labor force,39973,10140,21.5
2724,Female,Not in labor force,17262,9388,16
2725,Male,Employed,108162,11303,27
2726,Male,Employed,129244,8752,27.8
2727,Male,Employed,46215,11712,23.7
2728,Male,Unemployed,17223,12551,18.7
2729,Female,Not in labor force,24664,6111,17.7
2730,Male,Employed,36505,11150,23
2731,Female,Employed,40950,12627,20.3
2732,Female,Employed,23376,13256,18.2
2733,Male,Not in labor force,25373,6238,20.3
2734,Male,Employed,69725,11731,25.4
2735,Female,Not in labor force,16049,8920,15.4
2736,Male,Not in labor force,34668,12720,20.4
2737,Male,Employed,85182,5040,26.8
2738,Male,Employed,30974,9485,22.2
2739,Male,Employed,100026,7765,27.1
2740,Male,Not in labor force,60885,11950,22.4
2741,Female,Not in labor force,15342,8886,15.6
2742,Male,Unemployed,24913,12424,19.8
2743,Male,Employed,41224,5262,24.3
2744,Female,Not in labor force,23899,9215,16.8
2745,Female,Not in labor force,17455,6680,16.4
2746,Female,Employed,32473,5780,21.2
2747,Female,Employed,44836,13160,20.5
2748,Male,Unemployed,45114,7349,22.5
2749,Male,Not in labor force,36578,10709,21
2750,Female,Employed,58725,13265,21.6
2751,Male,Employed,28378,12734,21.9
2752,Female,Not in labor force,20325,11327,16.3
2753,Female,Not in labor force,12187,8063,14.9
2754,Female,Not in labor force,62844,6583,20.9
2755,Female,Employed,33815,5976,21
2756,Female,Not in labor force,24828,10049,16.7
2757,Female,Not in labor force,9255,7255,14.3
2758,Male,Employed,69219,9326,25.4
2759,Male,Employed,41423,10010,23.5
2760,Female,Employed,68054,10479,22.5
2761,Female,Not in labor force,18946,8429,16
2762,Female,Employed,34837,10240,20.7
2763,Female,Employed,89786,5603,24.2
2764,Female,Employed,60729,14688,21.7
2765,Female,Not in labor force,6696,10163,12.5
2766,Female,Employed,22929,14232,18
2767,Male,Employed,52728,9037,24.7
2768,Male,Employed,222805,8243,29.5
2769,Female,Employed,77338,11459,22
2770,Male,Employed,98584,11382,26.6
2771,Female,Not in labor force,33020,11294,17.7
2772,Male,Employed,28053,9866,22.7
2773,Male,Employed,88883,13029,26
2774,Female,Employed,35440,6582,20.9
2775,Male,Employed,48995,13294,23.8
2776,Female,Not in labor force,36606,10084,17.9
2777,Male,Employed,102349,10268,26.6
2778,Female,Not in labor force,30090,8754,18
2779,Male,Employed,99396,12380,26
2780,Female,Not in labor force,46531,9237,19.5
2781,Male,Unemployed,19034,7431,19.6
2782,Female,Employed,48332,9174,21.2
2783,Male,Employed,125402,7307,28
2784,Female,Not in labor force,32334,11374,17.3
2785,Male,Employed,113803,12082,26.8
2786,Male,Employed,73188,12935,24.7
2787,Female,Employed,52501,7288,22.2
2788,Male,Employed,99128,12269,26.3
2789,Male,Employed,25664,7864,22.5
2790,Female,Employed,4619,8739,14
2791,Male,Employed,80065,11703,25.4
2792,Male,Unemployed,37929,12991,21.2
2793,Male,Employed,64548,6297,26.2
2794,Female,Not in labor force,56236,12786,19.2
2795,Male,Employed,47190,9279,24
2796,Male,Not in labor force,75970,8212,24.1
2797,Female,Not in labor force,16339,7571,16.1
2798,Male,Unemployed,41342,14535,21.5
2799,Male,Not in labor force,20005,11311,19
2800,Male,Employed,37635,8250,23.9
2801,Female,Not in labor force,16245,9845,15.6
2802,Female,Unemployed,27013,12289,17.1
2803,Female,Not in labor force,14193,4753,16.3
2804,Female,Employed,58632,6492,22.9
2805,Female,Not in labor force,10898,12595,14.2
2806,Female,Employed,33639,13240,19.8
2807,Male,Not in labor force,34541,9991,21.6
2808,Female,Employed,35639,10904,20.2
2809,Female,Employed,84564,11444,23
2810,Female,Employed,155339,6208,25.7
2811,Female,Not in labor force,10222,6690,14
2812,Female,Employed,89057,14150,22.6
2813,Female,Not in labor force,34489,11447,18.1
2814,Female,Employed,37504,9953,20.3
2815,Female,Unemployed,11753,10666,14.4
2816,Female,Employed,57951,10035,21.8
2817,Male,Employed,53911,10041,24.8
2818,Female,Employed,94486,12213,23.1
2819,Female,Not in labor force,8290,8806,13.5
2820,Male,Employed,56863,11792,24.5
2821,Female,Employed,27798,8065,20.1
2822,Female,Employed,48100,8474,21.7
2823,Male,Employed,85906,8555,26.8
2824,Male,Not in labor force,20906,9811,19
2825,Female,Employed,39731,10887,20.8
2826,Male,Employed,52779,12576,23.9
2827,Male,Employed,67301,7414,25.7
2828,Female,Employed,183703,13711,25.2
2829,Female,Not in labor force,22158,9164,16.6
2830,Female,Not in labor force,12426,7613,15.5
2831,Female,Employed,46066,6138,22
2832,Female,Unemployed,32252,12122,17.9
2833,Female,Employed,39095,14274,20.4
2834,Male,Unemployed,26207,18251,19.7
2835,Female,Not in labor force,56646,12963,19.3
2836,Female,Employed,56860,11500,21.6
2837,Male,Employed,103487,6232,27.4
2838,Male,Employed,30704,9031,23.2
2839,Female,Employed,28423,10680,19.3
2840,Female,Employed,105441,10501,24
2841,Male,Employed,65471,10668,25.3
2842,Female,Not in labor force,21486,11558,16.4
2843,Female,Not in labor force,19043,14111,15.6
2844,Male,Not in labor force,45549,6895,22.2
2845,Male,Employed,74092,8545,25.8
2846,Male,Employed,88676,12574,25.8
2847,Male,Employed,44168,13121,23.9
2848,Male,Not in labor force,63685,11766,23.2
2849,Female,Not in labor force,18133,11658,15.3
2850,Male,Employed,77025,14886,25
2851,Male,Unemployed,22676,6954,20.6
2852,Female,Not in labor force,8990,5239,14.6
2853,Female,Employed,13456,5024,17.9
2854,Female,Not in labor force,18374,6217,16.7
2855,Female,Not in labor force,25147,5955,18.3
2856,Female,Employed,32888,13963,19.6
2857,Male,Not in labor force,27439,7750,20.9
2858,Female,Employed,30847,11291,19.7
2859,Female,Employed,50702,10316,21.7
2860,Female,Not in labor force,43176,8379,19.2
2861,Female,Employed,20823,8292,18.9
2862,Female,Employed,11398,13478,16.1
2863,Female,Not in labor force,18657,8952,15.9
2864,Female,Employed,26587,8313,19.9
2865,Male,Employed,35451,6304,24
2866,Female,Not in labor force,18533,8195,16.2
2867,Female,Employed,51342,8054,22
2868,Female,Employed,86946,9086,23.9
2869,Male,Employed,65308,7594,25.3
2870,Male,Not in labor force,18534,10532,18.8
2871,Male,Employed,136645,9363,27.8
2872,Female,Employed,60941,12056,21.6
2873,Male,Not in labor force,25080,11012,19.9
2874,Female,Employed,40904,12426,20.4
2875,Male,Employed,29336,8118,22.9
2876,Male,Employed,147331,9119,28
2877,Female,Employed,27828,10165,19.5
2878,Female,Employed,39462,11662,20.8
2879,Female,Employed,45501,10647,21.1
2880,Male,Employed,53085,7863,24.7
2881,Female,Not in labor force,40731,10958,18.7
2882,Male,Employed,72620,8489,25.8
2883,Female,Employed,27173,9703,19
2884,Male,Employed,149840,10453,27.8
2885,Female,Not in labor force,28807,9305,17.5
2886,Female,Not in labor force,15942,14072,14.8
2887,Male,Employed,82432,9561,26.2
2888,Female,Not in labor force,19267,12897,16.2
2889,Female,Not in labor force,50579,7458,19.7
2890,Female,Not in labor force,10106,6807,14.6
2891,Female,Employed,37740,9425,20
2892,Male,Not in labor force,56052,7797,22.7
2893,Male,Not in labor force,44050,13628,21.6
2894,Male,Employed,86610,7818,26.9
2895,Male,Unemployed,13980,9865,18.2
2896,Male,Not in labor force,20295,5275,20.3
2897,Male,Not in labor force,12216,12034,17.3
2898,Male,Employed,66370,12127,25.1
2899,Female,Employed,32104,11664,20
2900,Female,Employed,52451,8677,21.4
2901,Female,Employed,23835,12919,18.3
2902,Male,Employed,45702,11706,24.2
2903,Female,Employed,30806,14730,19.2
2904,Male,Not in labor force,34408,3793,22.5
2905,Male,Employed,380142,7485,31.2
2906,Female,Not in labor force,17404,6499,16.7
2907,Female,Not in labor force,26547,7448,17.6
2908,Female,Unemployed,15673,13837,15.5
2909,Male,Employed,83908,4353,27.4
2910,Male,Employed,22880,11315,21.4
2911,Female,Not in labor force,18897,12829,15.8
2912,Female,Employed,115224,11656,24.2
2913,Male,Employed,33584,7591,22.9
2914,Male,Employed,86316,13090,25.4
2915,Female,Not in labor force,39337,9896,18.3
2916,Female,Not in labor force,14734,8708,15.5
2917,Female,Not in labor force,13477,8606,15.2
2918,Female,Employed,25497,15816,17.9
2919,Female,Employed,43075,12994,20.8
2920,Male,Employed,131285,10174,27.3
2921,Female,Not in labor force,58787,11723,20.3
2922,Female,Employed,37110,8467,21
2923,Male,Employed,35576,16873,22.3
2924,Male,Employed,59772,7975,25.3
2925,Female,Unemployed,73952,6772,21.6
2926,Female,Not in labor force,33478,10451,18.2
2927,Female,Not in labor force,8917,11184,13.7
2928,Female,Not in labor force,33373,8724,18.3
2929,Female,Employed,54015,9414,21.9
2930,Male,Unemployed,22309,10581,19.8
2931,Male,Employed,153143,9577,27.7
2932,Female,Employed,98377,5597,24.5
2933,Male,Employed,60584,12521,24.4
2934,Female,Employed,44070,6966,21.7
2935,Male,Employed,99571,8135,27.1
2936,Male,Not in labor force,44376,12160,21.8
2937,Female,Not in labor force,20465,11286,16.1
2938,Female,Not in labor force,29967,11916,17.5
2939,Female,Not in labor force,18963,14751,15.5
2940,Female,Employed,24670,4529,19.9
2941,Female,Employed,68400,6713,23.4
2942,Male,Employed,128340,8278,27.9
2943,Female,Employed,19333,9055,18.7
2944,Male,Not in labor force,23354,11562,19.9
2945,Male,Employed,49895,8972,24.2
2946,Female,Not in labor force,13193,8121,15.3
2947,Male,Employed,201659,10632,29
2948,Female,Not in labor force,6731,10349,12.8
2949,Female,Employed,32392,6509,20.8
2950,Female,Not in labor force,6601,12462,12.5
2951,Male,Employed,58388,9538,24.7
2952,Male,Employed,43690,8453,24
2953,Male,Not in labor force,28621,10340,20.4
2954,Female,Employed,51563,9525,21
2955,Female,Employed,144003,10153,25.3
2956,Female,Not in labor force,18975,10124,15.8
2957,Female,Not in labor force,19633,11317,15.8
2958,Male,Not in labor force,15840,8988,18.4
2959,Female,Employed,62441,9622,22.4
2960,Female,Not in labor force,16262,8523,15.4
2961,Female,Not in labor force,21247,11651,16.5
2962,Male,Employed,71797,11241,25
2963,Female,Unemployed,12215,7741,15.2
2964,Female,Employed,32466,8328,20
2965,Male,Not in labor force,29067,13483,20.1
2966,Male,Employed,100180,10283,26.6
2967,Female,Not in labor force,33611,11963,17.6
2968,Female,Employed,22342,11292,18.5
2969,Female,Not in labor force,12308,11097,14.6
2970,Male,Not in labor force,11265,11854,17
2971,Male,Employed,74322,6947,26.3
2972,Female,Employed,62569,10981,22.2
2973,Female,Employed,19602,9371,18.6
2974,Male,Employed,31108,7485,23.3
2975,Male,Employed,96977,15073,25.8
2976,Female,Employed,102639,11488,23.7
2977,Male,Employed,39192,8802,23.8
2978,Female,Employed,25440,14190,18.7
2979,Female,Employed,105629,4506,25.6
2980,Female,Employed,63533,10123,22.1
2981,Female,Not in labor force,5622,13979,12.1
2982,Female,Employed,41648,8136,21
2983,Female,Not in labor force,6421,8244,12.6
2984,Female,Not in labor force,32042,11179,17.7
2985,Male,Employed,86588,9309,25.7
2986,Male,Employed,54144,8598,24.5
2987,Female,Employed,19676,11403,18.2
2988,Female,Not in labor force,19153,12954,15.5
2989,Female,Employed,71494,6852,23.5
2990,Male,Unemployed,17513,13131,18.4
2991,Female,Employed,46528,3780,22.9
2992,Male,Employed,30830,12005,22.5
2993,Male,Employed,42202,10458,23.8
2994,Male,Employed,76966,8220,25.9
2995,Female,Not in labor force,21115,6842,17.1
2996,Female,Employed,39882,8380,20.6
2997,Male,Employed,28761,8688,23
2998,Male,Employed,27795,9693,22.7
2999,Male,Employed,90173,13916,25.9
3000,Male,Employed,45883,14539,23.4
3001,Female,Employed,72542,10936,22.5
3002,Female,Not in labor force,26480,10244,17.1
3003,Male,Unemployed,36167,11724,20.7
3004,Male,Employed,61611,11208,24.9
3005,Male,Employed,70910,9480,25.7
3006,Female,Unemployed,40197,8989,19
3007,Female,Not in labor force,17155,7844,16.2
3008,Female,Unemployed,32198,6765,18.9
3009,Male,Not in labor force,46184,8018,22.3
3010,Female,Not in labor force,22981,14081,16
3011,Female,Not in labor force,25208,8871,17.3
